,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
136,시흥갯골축제,갯골축제2023,1,2023,88280,859799150.0,2023-01-01,0.00010267514221199218,family
137,안동탈춤축제,안동민속축제2018,9,2018,408198,337000000.0,2018-09-01,0.0012112700296735906,family
138,안동탈춤축제,안동민속축제2019,9,2019,427845,337000000.0,2019-09-01,0.0012695697329376855,family
139,안동탈춤축제,안동민속축제2022,9,2022,253773,337000000.0,2022-09-01,0.0007530356083086053,family
140,안동탈춤축제,안동민속축제2023,5,2023,361654,770000000.0,2023-05-01,0.00046968051948051946,family
141,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2018,10,2018,120823,1443605530.0,2018-10-01,8.369530144429413e-05,old
142,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2022,9,2022,125575,1678590000.0,2022-09-01,7.480981061486128e-05,old
143,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이 축제2023,10,2023,116544,1935560900.0,2023-10-01,6.021200366260757e-05,old
144,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2018,7,2018,34814,350000000.0,2018-07-01,9.946857142857143e-05,old
145,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2019,7,2019,44239,348786000.0,2019-07-01,0.00012683708635094298,old
146,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2022,8,2022,51594,502387820.0,2022-08-01,0.00010269755345581427,old
147,알프스하동섬진강문화재첩축제,알프스하동섬진강재첩축제2023,8,2023,49878,502387820.0,2023-08-01,9.928186555159717e-05,old
148,양양송이축제,양양 송이 축제2018,9,2018,135037,529505980.0,2018-09-01,0.0002550245041614072,old
149,양양송이축제,양양 송이 축제2019,9,2019,133140,529753860.0,2019-09-01,0.00025132426595249346,old
150,양양송이축제,양양 송이 축제2022,9,2022,153355,544969610.0,2022-09-01,0.0002814010124344365,old
151,양양송이축제,양양 송이 축제2023,10,2023,209100,530117680.0,2023-10-01,0.00039444072116213893,old
152,여주오곡나루축제,여주오곡나루축제2018,10,2018,86400,908229000.0,2018-10-01,9.513019293592255e-05,old
153,여주오곡나루축제,여주오곡나루축제2022,10,2022,114874,904781000.0,2022-10-01,0.00012696332040571144,old
154,여주오곡나루축제,여주오곡나루축제2023,10,2023,125512,1036454000.0,2023-10-01,0.00012109751132225839,old
155,연천구석기축제,연천전곡리 구석기축제2018,5,2018,135014,784100000.0,2018-05-01,0.00017218977171279173,family
156,연천구석기축제,연천전곡리 구석기축제2019,5,2019,134956,875365010.0,2019-05-01,0.00015417111542989363,family
157,연천구석기축제,연천전곡리 구석기축제2022,10,2022,134556,869497780.0,2022-10-01,0.00015475140143543552,family
158,연천구석기축제,연천전곡리 구석기축제2023,5,2023,134257,1780915780.0,2023-05-01,7.53864958173373e-05,family
159,영덕대게축제,영덕대게축제2018,3,2018,92396,640000000.0,2018-03-01,0.00014436875,old
160,영덕대게축제,영덕대게축제2019,3,2019,89175,740000000.0,2019-03-01,0.00012050675675675676,old
161,영덕대게축제,영덕대게축제2023,2,2023,112356,670000.0,2023-02-01,0.1676955223880597,old
162,영도다리축제,영도다리축제2018,10,2018,101048,305000000.0,2018-10-01,0.00033130491803278687,old
163,영도다리축제,영도다리축제2019,10,2019,86737,332500000.0,2019-10-01,0.00026086315789473685,old
164,영도다리축제,영도다리축제2022,10,2022,98801,432500000.0,2022-10-01,0.00022844161849710983,old
165,영도다리축제,영도다리축제2023,10,2023,98560,413500000.0,2023-10-01,0.00023835550181378477,old
166,영동난계국악축제,영동난계국악축제2018,10,2018,137847,1149290650.0,2018-10-01,0.00011994093922194529,old
167,영동난계국악축제,영동난계국악축제2019,10,2019,134319,1110000000.0,2019-10-01,0.00012100810810810811,old
168,영동난계국악축제,영동난계국악축제2023,10,2023,149216,1099199780.0,2023-10-01,0.0001357496632686735,old
169,영산강서창들녘억새축제,영산강 서창들녘 억새축제2023,10,2023,211597,372077800.0,2023-10-01,0.0005686902040379727,old
170,영암왕인문화축제,왕인문화 축제2018,4,2018,58117,970000000.0,2018-04-01,5.991443298969072e-05,old
171,영암왕인문화축제,왕인문화 축제2019,4,2019,100959,980000000.0,2019-04-01,0.00010301938775510205,old
172,영암왕인문화축제,왕인문화 축제2023,3,2023,122166,989998200.0,2023-03-01,0.0001234002243640443,old
173,영주풍기인삼축제,영주풍기인삼축제2018,10,2018,247672,740000000.0,2018-10-01,0.0003346918918918919,old
174,영주풍기인삼축제,영주풍기인삼축제2019,10,2019,40604,950000000.0,2019-10-01,4.274105263157895e-05,old
175,영주풍기인삼축제,영주풍기인삼축제2023,10,2023,192055,810000000.0,2023-10-01,0.00023710493827160494,old
176,울산고래축제,울산고래축제2018,7,2018,138105,1513174000.0,2018-07-01,9.126841989090481e-05,old
177,울산고래축제,울산고래축제2019,6,2019,105532,1449175340.0,2019-06-01,7.282210584676385e-05,old
178,울산고래축제,울산고래축제2022,10,2022,155401,1250000000.0,2022-10-01,0.0001243208,old
179,울산고래축제,울산고래축제2023,5,2023,151463,1430703960.0,2023-05-01,0.00010586606610077461,old
180,울산쇠부리축제,울산쇠부리축제2018,5,2018,203193,588000000.0,2018-05-01,0.00034556632653061223,family
181,울산쇠부리축제,울산쇠부리축제2019,5,2019,69727,591000000.0,2019-05-01,0.0001179813874788494,family
182,울산쇠부리축제,울산쇠부리축제2022,5,2022,83739,599927210.0,2022-05-01,0.00013958193361491306,family
183,울산쇠부리축제,울산쇠부리축제2023,5,2023,80725,599974594.0,2023-05-01,0.0001345473638505433,family
184,울산옹기축제,울산옹기축제2018,5,2018,108281,712500000.0,2018-05-01,0.00015197333333333334,family
185,울산옹기축제,울산옹기축제2019,5,2019,117542,712500000.0,2019-05-01,0.00016497122807017543,family
186,울산옹기축제,울산옹기축제2022,9,2022,130006,874836060.0,2022-09-01,0.00014860612855853244,family
187,울산옹기축제,울산옹기축제2023,5,2023,75046,879017260.0,2023-05-01,8.537488786056374e-05,family
188,원주다이내믹댄싱카니발,원주다이내믹댄싱카니발2018,9,2018,72480,1528653140.0,2018-09-01,4.7414287848190335e-05,family
189,원주다이내믹댄싱카니발,원주다이내믹댄싱카니발2019,9,2019,49870,1894086789.0,2019-09-01,2.6329310932119066e-05,family
190,음성품바축제,음성품바축제2018,5,2018,175775,657099900.0,2018-05-01,0.00026750118208814216,old
191,음성품바축제,음성품바축제2019,5,2019,193077,738025000.0,2019-05-01,0.0002616130889875004,old
192,이천쌀문화축제,이천쌀문화축제2018,10,2018,149990,737900000.0,2018-10-01,0.00020326602520666758,old
193,이천쌀문화축제,이천쌀문화축제2023,10,2023,102543,1481380047.0,2023-10-01,6.922126446057094e-05,old
194,인천펜타포트음악축제,펜타포트 음악축제2018,1,2018,139759,2500000000.0,2018-01-01,5.59036e-05,youth
195,인천펜타포트음악축제,펜타포트 음악축제2019,8,2019,119505,1061827646.0,2019-08-01,0.0001125465139753952,youth
196,임실N치즈축제,임실N치즈축제2018,10,2018,54743,842440420.0,2018-10-01,6.498144996414108e-05,old
197,임실N치즈축제,임실N치즈축제2019,10,2019,83295,842440000.0,2019-10-01,9.887351027966383e-05,old
198,임실N치즈축제,임실N치즈축제2022,10,2022,100291,930000000.0,2022-10-01,0.00010783978494623656,old
199,임실N치즈축제,임실N치즈축제2023,10,2023,93319,1030000000.0,2023-10-01,9.06009708737864e-05,old
200,정남진장흥물축제,정남진장흥물축제2018,7,2018,233040,1500000000.0,2018-07-01,0.00015536,family
201,정남진장흥물축제,정남진장흥물축제2019,7,2019,230785,1500000000.0,2019-07-01,0.00015385666666666665,family
202,정남진장흥물축제,정남진장흥물축제2022,7,2022,311345,1978811770.0,2022-07-01,0.0001573393713945819,family
203,제주들불축제,제주 들불축제2018,3,2018,349131,1688149440.0,2018-03-01,0.00020681285182904186,family
204,제주들불축제,제주 들불축제2019,3,2019,324513,1629022750.0,2019-03-01,0.0001992071626992318,family
205,제주들불축제,제주들불축제2023,3,2023,389824,1368693000.0,2023-03-01,0.00028481478315444005,family
206,지용제,지용제2018,5,2018,152782,326000000.0,2018-05-01,0.00046865644171779143,old
207,지용제,지용제2019,5,2019,174418,326000000.0,2019-05-01,0.0005350245398773006,old
208,지용제,지용제2022,4,2022,185500,349981150.0,2022-04-01,0.0005300285458231108,old
209,지용제,지용제2023,5,2023,184584,450290000.0,2023-05-01,0.0004099224943925026,old
210,진도신비의바닷길축제,진도신비의바닷길축제2018,5,2018,35297,770437140.0,2018-05-01,4.581425033585479e-05,old
211,진도신비의바닷길축제,진도신비의바닷길축제2019,3,2019,38283,753979120.0,2019-03-01,5.07746156153502e-05,old
212,진도신비의바닷길축제,진도 신비의 바닷길 축제2023,4,2023,33285,899805690.0,2023-04-01,3.699131975926936e-05,old
213,진안홍삼축제,진안홍삼축제2018,10,2018,71456,799863000.0,2018-10-01,8.933529866989722e-05,old
214,진안홍삼축제,진안홍삼축제2019,10,2019,100435,850000000.0,2019-10-01,0.00011815882352941177,old
215,진안홍삼축제,진안홍삼축제2022,10,2022,85331,890389780.0,2022-10-01,9.583555642339021e-05,old
216,진안홍삼축제,진안홍삼축제2023,9,2023,46051,999816770.0,2023-09-01,4.605943947109429e-05,old
217,진주유등축제,진주남강유등축제2018,10,2018,638635,1832000000.0,2018-10-01,0.0003485998908296943,old
218,진주유등축제,진주남강유등축제2019,10,2019,582218,2499864208.0,2019-10-01,0.00023289985037459283,old
219,진주유등축제,진주남강유등축제2022,10,2022,1120998,2780000000.0,2022-10-01,0.00040323669064748203,old
220,진주유등축제,진주남강유등축제2023,10,2023,669984,2780000000.0,2023-10-01,0.00024100143884892087,old
221,천안흥타령축제,천안흥타령춤축제2018,9,2018,315484,2547171521.0,2018-09-01,0.00012385659834801522,family
222,천안흥타령축제,천안흥타령춤축제2019,9,2019,133541,2537534464.0,2019-09-01,5.262628031049276e-05,family
223,천안흥타령축제,천안흥타령춤축제2022,9,2022,188887,2495703972.0,2022-09-01,7.568485770715438e-05,family
224,천안흥타령축제,천안흥타령춤축제2023,10,2023,183994,2906180089.0,2023-10-01,6.331128641904338e-05,family
225,청송사과축제,청송사과축제2019,10,2019,113269,610000000.0,2019-10-01,0.00018568688524590163,old
226,청송사과축제,청송사과축제2022,11,2022,100094,839972590.0,2022-11-01,0.00011916341222515368,old
227,청송사과축제,청송사과축제2023,11,2023,120668,759995880.0,2023-11-01,0.00015877454493569095,old
228,추억의충장축제,추억의충장축제2018,1,2018,318378,1332130120.0,2018-01-01,0.0002389991752457335,youth
229,추억의충장축제,추억의충장축제2019,10,2019,381293,1435575.0,2019-10-01,0.2656029813837661,youth
230,추억의충장축제,추억의충장축제2022,10,2022,436623,2932100062.0,2022-10-01,0.00014891135730960603,youth
231,춘천마임축제,춘천마임축제2018,5,2018,241612,603904212.0,2018-05-01,0.00040008331652437623,old
232,춘천마임축제,춘천마임축제2019,5,2019,329181,719427440.0,2019-05-01,0.0004575596949707673,old
233,춘천마임축제,춘천마임축제2022,5,2022,389382,621424029.0,2022-05-01,0.0006265963043408481,old
234,춘천마임축제,춘천마임축제2023,5,2023,482235,637274368.0,2023-05-01,0.0007567148848516061,old
235,탐라문화제,탐라문화제2018,10,2018,91268,1199844430.0,2018-10-01,7.606652805814167e-05,old
236,탐라문화제,탐라문화제2019,10,2019,101196,1275000000.0,2019-10-01,7.936941176470589e-05,old
237,탐라문화제,탐라문화제2022,10,2022,97587,1515960050.0,2022-10-01,6.43730684063871e-05,old
238,탐라문화제,탐라문화제2023,10,2023,122112,1474767280.0,2023-10-01,8.280086062120933e-05,old
239,태백산눈축제,태백산눈축제2018,1,2018,310667,1277949000.0,2018-01-01,0.00024309812050402638,old
240,태백산눈축제,태백산눈축제2019,1,2019,241869,1272739000.0,2019-01-01,0.00019003817750536442,old
241,통영한산대첩축제,통영한산대첩축제2018,8,2018,101018,1114367512.0,2018-08-01,9.065052499484569e-05,old
242,통영한산대첩축제,통영한산대첩축제2019,8,2019,63457,1209000000.0,2019-08-01,5.248717948717949e-05,old
243,통영한산대첩축제,통영한산대첩축제2022,8,2022,131067,1019521140.0,2022-08-01,0.00012855741274771408,old
244,평창송어축제,평창송어축제2019,12,2019,522981,140000000.0,2019-12-01,0.0037355785714285714,family
245,평창효석문화제,평창효석문화제2018,9,2018,222342,883000000.0,2018-09-01,0.0002518029445073613,old
246,평창효석문화제,평창효석문화제2019,9,2019,193942,696400000.0,2019-09-01,0.0002784922458357266,old
247,포항국제불빛축제,국제불빛축제2018,7,2018,261904,800000000.0,2018-07-01,0.00032738,family
248,포항국제불빛축제,국제불빛축제2019,5,2019,149136,940000000.0,2019-05-01,0.00015865531914893618,family
249,하동야생차문화축제,하동야생차문화축제2018,5,2018,48505,525000000.0,2018-05-01,9.239047619047619e-05,old
250,하동야생차문화축제,하동야생차문화축제2019,5,2019,41484,701687000.0,2019-05-01,5.912037703420471e-05,old
251,하동야생차문화축제,하동야생차문화축제2022,5,2022,65341,618091890.0,2022-05-01,0.00010571405491180285,old
252,한산모시문화제,한산모시문화제2018,6,2018,39979,1082710030.0,2018-06-01,3.6924937326017016e-05,old
253,한산모시문화제,한산모시문화제2019,6,2019,37690,1193000000.0,2019-06-01,3.159262363788768e-05,old
254,한산모시문화제,한산모시문화제2022,6,2022,38538,1461548430.0,2022-06-01,2.6367925420028674e-05,old
255,한산모시문화제,한산모시문화제2023,6,2023,30030,831449000.0,2023-06-01,3.611766927376183e-05,old
256,한성백제문화제,한성백제문화제2018,10,2018,113484,484827810.0,2018-10-01,0.00023407073121486162,family
257,한성백제문화제,한성백제문화제2019,9,2019,114684,695733550.0,2019-09-01,0.00016483896744666116,family
258,한성백제문화제,한성백제문화제2022,9,2022,153122,1310823320.0,2022-09-01,0.00011681360688639564,family
259,한성백제문화제,한성백제문화제2023,9,2023,177022,1256519000.0,2023-09-01,0.00014088286766853505,family
260,함평나비축제,함평나비대축제2018,4,2018,248677,977834000.0,2018-04-01,0.0002543141269377011,old
261,함평나비축제,함평나비대축제2019,4,2019,281791,890901000.0,2019-04-01,0.0003162988929185173,old
262,함평나비축제,함평나비대축제2022,4,2022,248702,951548780.0,2022-04-01,0.0002613654761871483,old
263,함평나비축제,함평나비대축제2023,4,2023,264405,1285900000.0,2023-04-01,0.00020561863286414184,old
264,화성뱃놀이축제,화성뱃놀이축제2018,5,2018,242100,1958143740.0,2018-05-01,0.0001236375017086335,family
265,화성뱃놀이축제,화성뱃놀이축제2019,6,2019,133539,2196916980.0,2019-06-01,6.078472751391816e-05,family
266,화성뱃놀이축제,화성뱃놀이축제2022,9,2022,121585,1585820939.0,2022-09-01,7.667006848621261e-05,family
267,화천산천어축제,화천 산천어 축제2018,1,2018,421449,5147216936.0,2018-01-01,8.187900475932068e-05,family
268,화천산천어축제,화천 산천어 축제2019,1,2019,479942,5268486000.0,2019-01-01,9.109675910688573e-05,family
269,화천산천어축제,화천 산천어축제2023,1,2023,505763,3261309262.0,2023-01-01,0.00015507974232711696,family
270,횡성한우축제,횡성한우축제2018,10,2018,177845,2029171000.0,2018-10-01,8.764416601656538e-05,old
271,횡성한우축제,횡성한우축제2019,10,2019,175117,2134683980.0,2019-10-01,8.20341566436452e-05,old
