축제명,연령대,남성비율,여성비율
강경젓갈축제,70세 이상,5.4,4.7
강경젓갈축제,60~69세,12.6,11.3
강경젓갈축제,50~59세,12.5,12.3
강경젓갈축제,40~49세,8.4,7.3
강경젓갈축제,30~39세,5.6,4.9
강경젓갈축제,20~29세,4.4,4.4
강경젓갈축제,10~19세,2.6,2.7
강경젓갈축제,0~9세,0.3,0.5
강릉커피축제,70세 이상,3.0,3.1
강릉커피축제,60~69세,6.7,7.0
강릉커피축제,50~59세,8.9,10.7
강릉커피축제,40~49세,8.5,8.9
강릉커피축제,30~39세,8.2,8.1
강릉커피축제,20~29세,8.3,9.5
강릉커피축제,10~19세,4.1,3.5
강릉커피축제,0~9세,0.6,0.7
강진청자축제,70세 이상,4.2,2.4
강진청자축제,60~69세,9.7,7.1
강진청자축제,50~59세,13.7,12.7
강진청자축제,40~49세,10.7,9.3
강진청자축제,30~39세,6.9,7.0
강진청자축제,20~29세,4.3,4.3
강진청자축제,10~19세,3.0,3.0
강진청자축제,0~9세,0.7,0.9
고령대가야축제,70세 이상,3.1,2.7
고령대가야축제,60~69세,8.9,6.9
고령대가야축제,50~59세,14.3,11.8
고령대가야축제,40~49세,10.2,9.0
고령대가야축제,30~39세,6.7,6.3
고령대가야축제,20~29세,6.0,4.9
고령대가야축제,10~19세,4.3,3.4
고령대가야축제,0~9세,0.8,0.8
곡성세계장미축제,70세 이상,3.4,3.4
곡성세계장미축제,60~69세,9.2,9.1
곡성세계장미축제,50~59세,11.7,14.8
곡성세계장미축제,40~49세,8.5,8.8
곡성세계장미축제,30~39세,6.5,7.4
곡성세계장미축제,20~29세,4.9,6.7
곡성세계장미축제,10~19세,2.3,2.6
곡성세계장미축제,0~9세,0.4,0.5
관악강감찬축제,70세 이상,2.3,2.2
관악강감찬축제,60~69세,4.5,4.0
관악강감찬축제,50~59세,5.6,5.5
관악강감찬축제,40~49세,6.3,5.1
관악강감찬축제,30~39세,11.9,9.7
관악강감찬축제,20~29세,18.2,19.2
관악강감찬축제,10~19세,2.5,2.6
관악강감찬축제,0~9세,0.2,0.3
광안리어방축제,70세 이상,3.4,2.7
광안리어방축제,60~69세,7.0,5.6
광안리어방축제,50~59세,7.0,7.7
광안리어방축제,40~49세,7.2,7.1
광안리어방축제,30~39세,9.7,9.3
광안리어방축제,20~29세,11.9,15.3
광안리어방축제,10~19세,2.5,2.9
광안리어방축제,0~9세,0.3,0.4
광주김치축제,70세 이상,2.7,2.3
광주김치축제,60~69세,7.0,5.5
광주김치축제,50~59세,10.3,9.5
광주김치축제,40~49세,9.0,7.6
광주김치축제,30~39세,9.9,8.0
광주김치축제,20~29세,10.8,10.5
광주김치축제,10~19세,2.9,3.0
광주김치축제,0~9세,0.4,0.6
괴산고추축제,70세 이상,3.8,2.9
괴산고추축제,60~69세,11.2,8.2
괴산고추축제,50~59세,13.0,10.4
괴산고추축제,40~49세,8.7,6.1
괴산고추축제,30~39세,6.4,4.4
괴산고추축제,20~29세,11.5,5.6
괴산고추축제,10~19세,3.5,3.5
괴산고추축제,0~9세,0.3,0.5
군산시간여행축제,70세 이상,4.0,3.8
군산시간여행축제,60~69세,8.3,7.3
군산시간여행축제,50~59세,9.5,10.4
군산시간여행축제,40~49세,8.8,9.2
군산시간여행축제,30~39세,7.3,7.6
군산시간여행축제,20~29세,6.8,7.5
군산시간여행축제,10~19세,3.6,4.7
군산시간여행축제,0~9세,0.5,0.7
금산인삼축제,70세 이상,5.1,4.8
금산인삼축제,60~69세,11.9,10.1
금산인삼축제,50~59세,12.5,12.6
금산인삼축제,40~49세,8.4,7.6
금산인삼축제,30~39세,5.3,4.8
금산인삼축제,20~29세,4.2,3.9
금산인삼축제,10~19세,3.7,3.9
금산인삼축제,0~9세,0.6,0.7
금호강바람소리길축제,70세 이상,2.9,3.0
금호강바람소리길축제,60~69세,8.6,7.7
금호강바람소리길축제,50~59세,11.5,12.0
금호강바람소리길축제,40~49세,9.4,8.3
금호강바람소리길축제,30~39세,9.2,7.6
금호강바람소리길축제,20~29세,6.6,6.8
금호강바람소리길축제,10~19세,2.6,2.6
금호강바람소리길축제,0~9세,0.6,0.7
김제지평선축제,70세 이상,4.2,3.6
김제지평선축제,60~69세,10.0,9.6
김제지평선축제,50~59세,11.2,12.4
김제지평선축제,40~49세,8.9,8.5
김제지평선축제,30~39세,6.9,8.4
김제지평선축제,20~29세,4.4,4.9
김제지평선축제,10~19세,2.7,2.7
김제지평선축제,0~9세,0.7,0.9
김해분청도자기축제,70세 이상,3.1,2.2
김해분청도자기축제,60~69세,10.3,6.3
김해분청도자기축제,50~59세,16.1,10.6
김해분청도자기축제,40~49세,12.8,6.7
김해분청도자기축제,30~39세,12.1,5.2
김해분청도자기축제,20~29세,8.0,3.9
김해분청도자기축제,10~19세,1.2,1.1
김해분청도자기축제,0~9세,0.2,0.2
남원춘향제,70세 이상,4.1,4.3
남원춘향제,60~69세,8.5,7.2
남원춘향제,50~59세,11.2,10.6
남원춘향제,40~49세,9.5,9.2
남원춘향제,30~39세,6.4,6.9
남원춘향제,20~29세,5.6,5.9
남원춘향제,10~19세,4.1,4.6
남원춘향제,0~9세,0.9,0.9
담양대나무축제,70세 이상,2.8,2.4
담양대나무축제,60~69세,7.3,5.6
담양대나무축제,50~59세,12.0,10.9
담양대나무축제,40~49세,10.7,9.5
담양대나무축제,30~39세,7.5,7.6
담양대나무축제,20~29세,7.3,6.9
담양대나무축제,10~19세,4.4,3.9
담양대나무축제,0~9세,0.5,0.7
대구약령시한방문화축제,70세 이상,3.2,2.4
대구약령시한방문화축제,60~69세,7.2,4.9
대구약령시한방문화축제,50~59세,8.6,8.1
대구약령시한방문화축제,40~49세,7.2,7.1
대구약령시한방문화축제,30~39세,8.9,7.7
대구약령시한방문화축제,20~29세,13.1,14.8
대구약령시한방문화축제,10~19세,2.7,3.6
대구약령시한방문화축제,0~9세,0.2,0.2
대구치맥페스티벌,70세 이상,3.2,2.2
대구치맥페스티벌,60~69세,8.0,5.2
대구치맥페스티벌,50~59세,9.6,8.7
대구치맥페스티벌,40~49세,7.5,6.4
대구치맥페스티벌,30~39세,8.7,6.3
대구치맥페스티벌,20~29세,13.0,12.2
대구치맥페스티벌,10~19세,4.0,4.6
대구치맥페스티벌,0~9세,0.2,0.2
대전사이언스페스티벌,70세 이상,1.6,1.1
대전사이언스페스티벌,60~69세,6.8,3.6
대전사이언스페스티벌,50~59세,11.2,7.0
대전사이언스페스티벌,40~49세,11.6,7.6
대전사이언스페스티벌,30~39세,13.7,8.4
대전사이언스페스티벌,20~29세,11.2,8.3
대전사이언스페스티벌,10~19세,3.7,3.2
대전사이언스페스티벌,0~9세,0.4,0.5
대전효문화뿌리축제,70세 이상,5.1,3.5
대전효문화뿌리축제,60~69세,10.3,8.1
대전효문화뿌리축제,50~59세,11.9,11.1
대전효문화뿌리축제,40~49세,9.7,8.0
대전효문화뿌리축제,30~39세,7.2,6.9
대전효문화뿌리축제,20~29세,5.2,4.9
대전효문화뿌리축제,10~19세,3.2,3.3
대전효문화뿌리축제,0~9세,0.7,0.8
동래읍성역사축제,70세 이상,4.0,3.7
동래읍성역사축제,60~69세,7.7,7.8
동래읍성역사축제,50~59세,8.4,10.2
동래읍성역사축제,40~49세,8.2,8.4
동래읍성역사축제,30~39세,7.8,7.2
동래읍성역사축제,20~29세,9.0,9.1
동래읍성역사축제,10~19세,3.8,3.7
동래읍성역사축제,0~9세,0.4,0.4
목포항구축제,70세 이상,4.7,3.8
목포항구축제,60~69세,11.3,8.6
목포항구축제,50~59세,13.2,11.0
목포항구축제,40~49세,10.0,7.1
목포항구축제,30~39세,7.9,5.6
목포항구축제,20~29세,6.5,4.4
목포항구축제,10~19세,2.6,2.5
목포항구축제,0~9세,0.4,0.4
무주반딧불축제,70세 이상,3.2,2.5
무주반딧불축제,60~69세,9.0,6.5
무주반딧불축제,50~59세,13.5,10.3
무주반딧불축제,40~49세,12.0,8.8
무주반딧불축제,30~39세,8.5,7.3
무주반딧불축제,20~29세,5.6,4.4
무주반딧불축제,10~19세,3.5,3.3
무주반딧불축제,0~9세,0.8,0.9
문경찻사발축제,70세 이상,2.8,2.5
문경찻사발축제,60~69세,9.7,7.3
문경찻사발축제,50~59세,14.2,12.1
문경찻사발축제,40~49세,11.2,8.7
문경찻사발축제,30~39세,8.4,6.6
문경찻사발축제,20~29세,5.6,4.7
문경찻사발축제,10~19세,2.8,2.6
문경찻사발축제,0~9세,0.5,0.5
밀양아리랑대축제,70세 이상,3.3,3.1
밀양아리랑대축제,60~69세,8.5,7.9
밀양아리랑대축제,50~59세,10.5,11.8
밀양아리랑대축제,40~49세,8.7,9.2
밀양아리랑대축제,30~39세,7.0,6.7
밀양아리랑대축제,20~29세,6.1,5.9
밀양아리랑대축제,10~19세,4.9,4.5
밀양아리랑대축제,0~9세,0.8,1.0
보령머드축제,70세 이상,2.0,1.9
보령머드축제,60~69세,6.3,5.1
보령머드축제,50~59세,9.6,8.2
보령머드축제,40~49세,9.7,7.7
보령머드축제,30~39세,9.7,6.7
보령머드축제,20~29세,13.3,9.3
보령머드축제,10~19세,4.8,4.2
보령머드축제,0~9세,0.7,0.7
보성다향대축제,70세 이상,4.2,3.7
보성다향대축제,60~69세,9.3,7.9
보성다향대축제,50~59세,12.7,12.1
보성다향대축제,40~49세,9.1,8.7
보성다향대축제,30~39세,6.3,6.1
보성다향대축제,20~29세,5.4,5.1
보성다향대축제,10~19세,4.4,3.8
보성다향대축제,0~9세,0.4,0.8
봉화은어축제,70세 이상,2.7,2.5
봉화은어축제,60~69세,7.8,6.4
봉화은어축제,50~59세,13.3,11.2
봉화은어축제,40~49세,11.4,9.2
봉화은어축제,30~39세,6.5,7.0
봉화은어축제,20~29세,5.3,4.7
봉화은어축제,10~19세,5.4,4.7
봉화은어축제,0~9세,0.9,1.1
부안마실축제,70세 이상,4.1,4.6
부안마실축제,60~69세,8.2,6.6
부안마실축제,50~59세,11.7,10.5
부안마실축제,40~49세,10.0,9.6
부안마실축제,30~39세,6.2,6.0
부안마실축제,20~29세,5.6,5.3
부안마실축제,10~19세,5.1,5.1
부안마실축제,0~9세,0.7,0.8
부천국제만화축제,70세 이상,1.8,1.8
부천국제만화축제,60~69세,6.5,5.6
부천국제만화축제,50~59세,9.7,10.3
부천국제만화축제,40~49세,9.6,9.2
부천국제만화축제,30~39세,9.7,8.9
부천국제만화축제,20~29세,8.1,8.3
부천국제만화축제,10~19세,4.6,4.8
부천국제만화축제,0~9세,0.6,0.7
부평풍물대축제,70세 이상,2.6,2.6
부평풍물대축제,60~69세,6.4,6.5
부평풍물대축제,50~59세,7.6,9.2
부평풍물대축제,40~49세,7.0,7.2
부평풍물대축제,30~39세,10.0,9.2
부평풍물대축제,20~29세,11.5,12.7
부평풍물대축제,10~19세,2.9,3.8
부평풍물대축제,0~9세,0.4,0.4
산청한방약초축제,70세 이상,5.0,4.2
산청한방약초축제,60~69세,12.4,11.1
산청한방약초축제,50~59세,14.5,14.8
산청한방약초축제,40~49세,8.6,7.7
산청한방약초축제,30~39세,5.8,4.8
산청한방약초축제,20~29세,3.9,3.2
산청한방약초축제,10~19세,1.8,1.6
산청한방약초축제,0~9세,0.4,0.3
서산해미읍성축제,70세 이상,4.4,3.4
서산해미읍성축제,60~69세,8.9,7.1
서산해미읍성축제,50~59세,10.9,10.0
서산해미읍성축제,40~49세,9.7,7.8
서산해미읍성축제,30~39세,7.6,7.3
서산해미읍성축제,20~29세,8.3,6.4
서산해미읍성축제,10~19세,3.3,3.4
서산해미읍성축제,0~9세,0.7,0.7
석장리세계구석기축제,70세 이상,2.3,2.2
석장리세계구석기축제,60~69세,7.0,5.4
석장리세계구석기축제,50~59세,11.4,9.8
석장리세계구석기축제,40~49세,11.4,9.8
석장리세계구석기축제,30~39세,9.1,9.0
석장리세계구석기축제,20~29세,7.1,6.5
석장리세계구석기축제,10~19세,3.8,3.6
석장리세계구석기축제,0~9세,0.7,0.9
세종축제,70세 이상,1.3,1.2
세종축제,60~69세,4.6,4.2
세종축제,50~59세,8.7,8.0
세종축제,40~49세,11.7,10.2
세종축제,30~39세,12.6,12.4
세종축제,20~29세,6.8,8.5
세종축제,10~19세,3.8,4.2
세종축제,0~9세,0.8,0.9
소래포구축제,70세 이상,2.1,2.0
소래포구축제,60~69세,6.9,5.3
소래포구축제,50~59세,11.5,9.8
소래포구축제,40~49세,11.6,8.8
소래포구축제,30~39세,11.4,7.7
소래포구축제,20~29세,7.6,6.4
소래포구축제,10~19세,3.8,3.6
소래포구축제,0~9세,0.7,0.9
수성못페스티벌,70세 이상,2.6,2.4
수성못페스티벌,60~69세,6.6,5.9
수성못페스티벌,50~59세,9.3,10.0
수성못페스티벌,40~49세,9.2,8.7
수성못페스티벌,30~39세,10.2,8.8
수성못페스티벌,20~29세,10.0,10.6
수성못페스티벌,10~19세,2.3,2.7
수성못페스티벌,0~9세,0.3,0.5
수원화성문화제,70세 이상,3.4,2.8
수원화성문화제,60~69세,8.0,7.1
수원화성문화제,50~59세,9.9,9.7
수원화성문화제,40~49세,8.7,7.8
수원화성문화제,30~39세,8.7,8.5
수원화성문화제,20~29세,8.6,11.3
수원화성문화제,10~19세,2.2,2.6
수원화성문화제,0~9세,0.3,0.4
순창장류축제,70세 이상,3.8,3.7
순창장류축제,60~69세,10.9,8.7
순창장류축제,50~59세,13.9,12.6
순창장류축제,40~49세,9.8,8.5
순창장류축제,30~39세,6.2,5.7
순창장류축제,20~29세,4.8,3.9
순창장류축제,10~19세,3.3,3.4
순창장류축제,0~9세,0.5,0.5
시흥갯골축제,70세 이상,2.0,1.7
시흥갯골축제,60~69세,6.0,4.4
시흥갯골축제,50~59세,10.8,9.2
시흥갯골축제,40~49세,11.6,10.0
시흥갯골축제,30~39세,10.1,9.7
시흥갯골축제,20~29세,6.8,7.1
시흥갯골축제,10~19세,4.3,4.4
시흥갯골축제,0~9세,1.0,0.9
안동탈춤축제,70세 이상,3.3,3.3
안동탈춤축제,60~69세,6.6,6.5
안동탈춤축제,50~59세,9.9,10.5
안동탈춤축제,40~49세,8.5,9.1
안동탈춤축제,30~39세,7.1,7.0
안동탈춤축제,20~29세,8.6,9.4
안동탈춤축제,10~19세,4.1,5.2
안동탈춤축제,0~9세,0.4,0.6
안성맞춤남사당바우덕이축제,70세 이상,3.4,2.9
안성맞춤남사당바우덕이축제,60~69세,10.1,8.4
안성맞춤남사당바우덕이축제,50~59세,12.7,11.0
안성맞춤남사당바우덕이축제,40~49세,10.3,8.0
안성맞춤남사당바우덕이축제,30~39세,8.5,7.7
안성맞춤남사당바우덕이축제,20~29세,5.4,5.2
안성맞춤남사당바우덕이축제,10~19세,2.4,2.4
안성맞춤남사당바우덕이축제,0~9세,0.7,0.9
알프스하동섬진강문화재첩축제,70세 이상,4.3,3.8
알프스하동섬진강문화재첩축제,60~69세,9.5,7.3
알프스하동섬진강문화재첩축제,50~59세,12.3,11.4
알프스하동섬진강문화재첩축제,40~49세,10.2,9.4
알프스하동섬진강문화재첩축제,30~39세,6.1,6.4
