축제명,연령대,남성비율,여성비율
알프스하동섬진강문화재첩축제,20~29세,5.1,4.8
알프스하동섬진강문화재첩축제,10~19세,4.0,4.1
알프스하동섬진강문화재첩축제,0~9세,0.7,0.7
양양송이축제,70세 이상,4.1,3.3
양양송이축제,60~69세,9.7,8.0
양양송이축제,50~59세,13.2,11.5
양양송이축제,40~49세,9.9,8.3
양양송이축제,30~39세,6.8,6.0
양양송이축제,20~29세,6.2,4.8
양양송이축제,10~19세,3.5,3.5
양양송이축제,0~9세,0.5,0.6
여주오곡나루축제,70세 이상,3.4,2.9
여주오곡나루축제,60~69세,8.2,7.5
여주오곡나루축제,50~59세,11.4,11.6
여주오곡나루축제,40~49세,9.5,9.2
여주오곡나루축제,30~39세,8.0,7.2
여주오곡나루축제,20~29세,6.2,6.0
여주오곡나루축제,10~19세,3.6,3.5
여주오곡나루축제,0~9세,0.8,0.9
연천구석기축제,70세 이상,2.7,2.4
연천구석기축제,60~69세,8.0,6.1
연천구석기축제,50~59세,10.9,9.8
연천구석기축제,40~49세,9.7,8.2
연천구석기축제,30~39세,7.6,6.9
연천구석기축제,20~29세,11.0,5.9
연천구석기축제,10~19세,4.9,4.0
연천구석기축제,0~9세,0.8,0.9
영덕대게축제,70세 이상,2.9,2.5
영덕대게축제,60~69세,9.4,8.0
영덕대게축제,50~59세,14.5,12.7
영덕대게축제,40~49세,11.0,8.8
영덕대게축제,30~39세,7.8,5.9
영덕대게축제,20~29세,5.8,4.8
영덕대게축제,10~19세,2.6,2.3
영덕대게축제,0~9세,0.6,0.5
영도다리축제,70세 이상,4.6,4.1
영도다리축제,60~69세,10.2,8.2
영도다리축제,50~59세,10.2,10.0
영도다리축제,40~49세,8.5,7.4
영도다리축제,30~39세,7.4,6.4
영도다리축제,20~29세,8.1,7.1
영도다리축제,10~19세,3.7,3.1
영도다리축제,0~9세,0.5,0.5
영동난계국악축제,70세 이상,3.3,3.5
영동난계국악축제,60~69세,8.0,7.1
영동난계국악축제,50~59세,11.9,10.8
영동난계국악축제,40~49세,9.0,8.4
영동난계국악축제,30~39세,6.3,5.7
영동난계국악축제,20~29세,7.4,7.0
영동난계국악축제,10~19세,5.3,4.8
영동난계국악축제,0~9세,0.6,0.7
영산강서창들녘억새축제,70세 이상,2.9,2.3
영산강서창들녘억새축제,60~69세,9.4,5.9
영산강서창들녘억새축제,50~59세,15.1,11.7
영산강서창들녘억새축제,40~49세,11.4,8.6
영산강서창들녘억새축제,30~39세,8.8,6.3
영산강서창들녘억새축제,20~29세,7.0,6.0
영산강서창들녘억새축제,10~19세,2.1,1.9
영산강서창들녘억새축제,0~9세,0.3,0.3
영암왕인문화축제,70세 이상,4.5,3.3
영암왕인문화축제,60~69세,9.4,7.8
영암왕인문화축제,50~59세,12.4,12.8
영암왕인문화축제,40~49세,8.8,8.8
영암왕인문화축제,30~39세,6.8,7.2
영암왕인문화축제,20~29세,5.6,5.9
영암왕인문화축제,10~19세,2.6,2.9
영암왕인문화축제,0~9세,0.5,0.6
영주풍기인삼축제,70세 이상,5.4,5.1
영주풍기인삼축제,60~69세,13.0,11.4
영주풍기인삼축제,50~59세,13.1,12.9
영주풍기인삼축제,40~49세,8.1,6.6
영주풍기인삼축제,30~39세,5.1,4.5
영주풍기인삼축제,20~29세,5.2,3.8
영주풍기인삼축제,10~19세,2.7,2.2
영주풍기인삼축제,0~9세,0.5,0.4
울산고래축제,70세 이상,2.7,1.8
울산고래축제,60~69세,10.9,5.5
울산고래축제,50~59세,15.9,8.6
울산고래축제,40~49세,12.9,6.4
울산고래축제,30~39세,12.0,6.7
울산고래축제,20~29세,7.5,5.0
울산고래축제,10~19세,1.6,1.6
울산고래축제,0~9세,0.4,0.5
울산쇠부리축제,70세 이상,1.8,1.4
울산쇠부리축제,60~69세,6.4,4.3
울산쇠부리축제,50~59세,13.5,11.2
울산쇠부리축제,40~49세,11.0,10.5
울산쇠부리축제,30~39세,8.9,7.1
울산쇠부리축제,20~29세,7.7,6.0
울산쇠부리축제,10~19세,4.4,4.1
울산쇠부리축제,0~9세,0.8,1.0
울산옹기축제,70세 이상,2.2,1.8
울산옹기축제,60~69세,6.9,5.2
울산옹기축제,50~59세,12.3,10.7
울산옹기축제,40~49세,11.4,10.4
울산옹기축제,30~39세,8.1,7.0
울산옹기축제,20~29세,6.5,5.7
울산옹기축제,10~19세,5.5,4.6
울산옹기축제,0~9세,0.6,0.9
원주다이내믹댄싱카니발,70세 이상,2.8,3.1
원주다이내믹댄싱카니발,60~69세,7.3,6.4
원주다이내믹댄싱카니발,50~59세,8.7,10.8
원주다이내믹댄싱카니발,40~49세,7.3,8.0
원주다이내믹댄싱카니발,30~39세,6.9,7.4
원주다이내믹댄싱카니발,20~29세,7.1,7.5
원주다이내믹댄싱카니발,10~19세,6.3,8.8
원주다이내믹댄싱카니발,0~9세,0.8,0.9
원주한지문화제,70세 이상,1.9,1.8
원주한지문화제,60~69세,6.2,5.5
원주한지문화제,50~59세,9.0,9.7
원주한지문화제,40~49세,8.7,8.8
원주한지문화제,30~39세,8.8,8.3
원주한지문화제,20~29세,9.8,9.5
원주한지문화제,10~19세,5.6,4.7
원주한지문화제,0~9세,0.8,0.8
음성품바축제,70세 이상,4.2,3.4
음성품바축제,60~69세,11.7,8.9
음성품바축제,50~59세,14.0,12.3
음성품바축제,40~49세,8.6,7.3
음성품바축제,30~39세,6.2,4.9
음성품바축제,20~29세,5.5,4.5
음성품바축제,10~19세,3.6,3.8
음성품바축제,0~9세,0.6,0.7
이천쌀문화축제,70세 이상,3.2,2.3
이천쌀문화축제,60~69세,10.6,7.4
이천쌀문화축제,50~59세,14.6,11.2
이천쌀문화축제,40~49세,10.6,7.8
이천쌀문화축제,30~39세,8.9,6.2
이천쌀문화축제,20~29세,6.6,5.1
이천쌀문화축제,10~19세,2.1,2.8
이천쌀문화축제,0~9세,0.3,0.3
인천펜타포트음악축제,70세 이상,0.9,0.9
인천펜타포트음악축제,60~69세,3.5,2.6
인천펜타포트음악축제,50~59세,7.0,6.0
인천펜타포트음악축제,40~49세,9.9,8.7
인천펜타포트음악축제,30~39세,11.4,11.7
인천펜타포트음악축제,20~29세,11.1,17.0
인천펜타포트음악축제,10~19세,3.9,4.3
인천펜타포트음악축제,0~9세,0.5,0.5
임실N치즈축제,70세 이상,3.3,3.0
임실N치즈축제,60~69세,10.0,9.1
임실N치즈축제,50~59세,12.3,12.7
임실N치즈축제,40~49세,9.6,8.9
임실N치즈축제,30~39세,7.5,7.8
임실N치즈축제,20~29세,5.0,5.2
임실N치즈축제,10~19세,2.1,2.3
임실N치즈축제,0~9세,0.5,0.7
정남진장흥물축제,70세 이상,3.4,3.3
정남진장흥물축제,60~69세,7.7,6.1
정남진장흥물축제,50~59세,11.6,10.4
정남진장흥물축제,40~49세,10.1,9.2
정남진장흥물축제,30~39세,6.9,6.8
정남진장흥물축제,20~29세,6.7,5.6
정남진장흥물축제,10~19세,5.3,5.0
정남진장흥물축제,0~9세,0.8,1.1
정선아리랑제,70세 이상,4.1,3.3
정선아리랑제,60~69세,9.9,8.6
정선아리랑제,50~59세,13.2,11.5
정선아리랑제,40~49세,10.5,8.7
정선아리랑제,30~39세,6.3,5.6
정선아리랑제,20~29세,4.4,3.8
정선아리랑제,10~19세,4.5,4.3
정선아리랑제,0~9세,0.7,0.8
제주들불축제,70세 이상,2.1,1.8
제주들불축제,60~69세,7.2,5.0
제주들불축제,50~59세,13.7,10.7
제주들불축제,40~49세,11.8,9.3
제주들불축제,30~39세,9.5,7.9
제주들불축제,20~29세,7.3,7.3
제주들불축제,10~19세,2.9,2.7
제주들불축제,0~9세,0.4,0.5
지용제,70세 이상,3.2,3.0
지용제,60~69세,8.8,7.1
지용제,50~59세,12.8,11.0
지용제,40~49세,10.1,8.8
지용제,30~39세,6.7,5.4
지용제,20~29세,7.1,4.9
지용제,10~19세,5.1,4.4
지용제,0~9세,0.8,0.9
진도신비의바닷길축제,70세 이상,4.6,3.9
진도신비의바닷길축제,60~69세,11.1,11.6
진도신비의바닷길축제,50~59세,12.1,14.5
진도신비의바닷길축제,40~49세,8.6,7.2
진도신비의바닷길축제,30~39세,6.8,5.3
진도신비의바닷길축제,20~29세,4.8,4.7
진도신비의바닷길축제,10~19세,2.0,2.0
진도신비의바닷길축제,0~9세,0.5,0.3
진안홍삼축제,70세 이상,4.3,3.2
진안홍삼축제,60~69세,11.4,8.3
진안홍삼축제,50~59세,14.9,13.3
진안홍삼축제,40~49세,9.1,7.9
진안홍삼축제,30~39세,6.3,5.5
진안홍삼축제,20~29세,5.0,4.1
진안홍삼축제,10~19세,2.9,2.9
진안홍삼축제,0~9세,0.4,0.5
진주유등축제,70세 이상,3.3,3.4
진주유등축제,60~69세,7.9,7.3
진주유등축제,50~59세,9.4,10.0
진주유등축제,40~49세,7.8,7.9
진주유등축제,30~39세,7.7,7.4
진주유등축제,20~29세,9.2,10.4
진주유등축제,10~19세,3.4,3.9
진주유등축제,0~9세,0.4,0.5
천안흥타령축제,70세 이상,1.6,1.4
천안흥타령축제,60~69세,5.8,4.6
천안흥타령축제,50~59세,10.6,9.6
천안흥타령축제,40~49세,11.1,8.7
천안흥타령축제,30~39세,11.3,8.9
천안흥타령축제,20~29세,9.0,8.2
천안흥타령축제,10~19세,3.6,4.0
천안흥타령축제,0~9세,0.6,0.8
청송사과축제,70세 이상,4.6,4.5
청송사과축제,60~69세,11.8,10.7
청송사과축제,50~59세,13.8,14.5
청송사과축제,40~49세,8.5,8.0
청송사과축제,30~39세,5.8,4.6
청송사과축제,20~29세,3.9,3.4
청송사과축제,10~19세,2.6,2.4
청송사과축제,0~9세,0.5,0.5
추억의충장축제,70세 이상,3.8,3.0
추억의충장축제,60~69세,6.7,5.5
추억의충장축제,50~59세,8.1,7.6
추억의충장축제,40~49세,6.7,6.7
추억의충장축제,30~39세,7.7,7.4
추억의충장축제,20~29세,12.2,14.3
추억의충장축제,10~19세,3.7,6.0
추억의충장축제,0~9세,0.3,0.4
춘천마임축제,70세 이상,3.5,3.1
춘천마임축제,60~69세,8.9,7.0
춘천마임축제,50~59세,10.2,9.9
춘천마임축제,40~49세,8.4,7.6
춘천마임축제,30~39세,8.9,7.6
춘천마임축제,20~29세,8.7,7.9
춘천마임축제,10~19세,3.7,3.4
춘천마임축제,0~9세,0.5,0.6
탐라문화제,70세 이상,2.7,3.2
탐라문화제,60~69세,7.8,7.4
탐라문화제,50~59세,10.3,10.9
탐라문화제,40~49세,8.9,9.2
탐라문화제,30~39세,8.4,8.3
탐라문화제,20~29세,7.3,9.3
탐라문화제,10~19세,2.5,2.8
탐라문화제,0~9세,0.3,0.5
탐라입춘굿축제,70세 이상,2.1,1.9
탐라입춘굿축제,60~69세,6.1,5.3
탐라입춘굿축제,50~59세,11.3,10.9
탐라입춘굿축제,40~49세,10.9,10.1
탐라입춘굿축제,30~39세,9.0,7.9
탐라입춘굿축제,20~29세,8.1,8.9
탐라입춘굿축제,10~19세,3.5,3.4
탐라입춘굿축제,0~9세,0.3,0.4
태백산눈축제,70세 이상,2.9,2.0
태백산눈축제,60~69세,9.2,7.4
태백산눈축제,50~59세,15.3,15.9
태백산눈축제,40~49세,10.9,9.8
태백산눈축제,30~39세,5.8,4.7
태백산눈축제,20~29세,4.3,3.8
태백산눈축제,10~19세,3.3,3.6
태백산눈축제,0~9세,0.4,0.5
통영한산대첩축제,70세 이상,3.3,3.3
통영한산대첩축제,60~69세,9.2,8.6
통영한산대첩축제,50~59세,11.8,11.0
통영한산대첩축제,40~49세,9.2,8.7
통영한산대첩축제,30~39세,8.0,6.4
통영한산대첩축제,20~29세,6.6,6.0
통영한산대첩축제,10~19세,3.3,3.4
통영한산대첩축제,0~9세,0.5,0.6
평창송어축제,70세 이상,2.8,2.3
평창송어축제,60~69세,7.9,6.1
평창송어축제,50~59세,12.5,10.6
평창송어축제,40~49세,10.7,9.1
평창송어축제,30~39세,8.1,7.4
평창송어축제,20~29세,6.9,6.9
평창송어축제,10~19세,3.9,3.5
평창송어축제,0~9세,0.7,0.7
평창효석문화제,70세 이상,2.9,2.5
평창효석문화제,60~69세,8.9,7.5
평창효석문화제,50~59세,11.6,11.8
평창효석문화제,40~49세,10.8,8.8
평창효석문화제,30~39세,8.5,8.6
평창효석문화제,20~29세,5.7,5.9
평창효석문화제,10~19세,2.7,2.6
평창효석문화제,0~9세,0.5,0.7
포항국제불빛축제,70세 이상,2.3,2.0
포항국제불빛축제,60~69세,6.6,6.0
포항국제불빛축제,50~59세,9.4,9.2
포항국제불빛축제,40~49세,8.6,8.4
포항국제불빛축제,30~39세,8.3,7.7
포항국제불빛축제,20~29세,9.9,9.5
포항국제불빛축제,10~19세,5.0,5.6
포항국제불빛축제,0~9세,0.6,0.7
하동야생차문화축제,70세 이상,4.4,4.3
하동야생차문화축제,60~69세,11.2,10.2
하동야생차문화축제,50~59세,12.0,14.2
하동야생차문화축제,40~49세,8.7,8.3
하동야생차문화축제,30~39세,5.8,6.0
하동야생차문화축제,20~29세,4.1,5.4
하동야생차문화축제,10~19세,2.2,2.2
하동야생차문화축제,0~9세,0.4,0.7
한산모시문화제,70세 이상,4.8,4.0
한산모시문화제,60~69세,10.7,9.3
한산모시문화제,50~59세,12.5,12.7
한산모시문화제,40~49세,8.6,8.2
한산모시문화제,30~39세,5.6,5.6
한산모시문화제,20~29세,4.5,3.9
한산모시문화제,10~19세,3.6,5.0
한산모시문화제,0~9세,0.4,0.6
한성백제문화제,70세 이상,2.7,2.8
한성백제문화제,60~69세,6.1,7.5
한성백제문화제,50~59세,7.8,9.3
한성백제문화제,40~49세,8.4,8.7
한성백제문화제,30~39세,9.3,10.5
한성백제문화제,20~29세,8.3,11.8
한성백제문화제,10~19세,3.1,3.0
한성백제문화제,0~9세,0.3,0.3
함평나비축제,70세 이상,3.6,3.5
함평나비축제,60~69세,9.0,7.6
함평나비축제,50~59세,11.9,11.7
함평나비축제,40~49세,10.1,8.7
함평나비축제,30~39세,7.8,8.2
함평나비축제,20~29세,4.8,4.9
함평나비축제,10~19세,3.1,3.4
함평나비축제,0~9세,0.8,0.9
화성뱃놀이축제,70세 이상,2.5,1.9
화성뱃놀이축제,60~69세,8.9,5.7
화성뱃놀이축제,50~59세,13.7,9.4
화성뱃놀이축제,40~49세,13.0,7.5
화성뱃놀이축제,30~39세,11.4,7.9
화성뱃놀이축제,20~29세,7.7,5.1
화성뱃놀이축제,10~19세,2.1,1.9
화성뱃놀이축제,0~9세,0.5,0.7
화천산천어축제,70세 이상,2.0,2.4
화천산천어축제,60~69세,6.1,4.3
화천산천어축제,50~59세,10.1,7.9
화천산천어축제,40~49세,10.5,9.0
화천산천어축제,30~39세,8.2,7.3
화천산천어축제,20~29세,13.7,6.6
화천산천어축제,10~19세,5.8,4.4
화천산천어축제,0~9세,0.8,0.9
횡성한우축제,70세 이상,3.7,3.2
횡성한우축제,60~69세,10.2,8.0
횡성한우축제,50~59세,12.3,11.7
횡성한우축제,40~49세,9.6,7.7
횡성한우축제,30~39세,7.0,6.6
횡성한우축제,20~29세,6.1,6.1
횡성한우축제,10~19세,3.3,3.2
횡성한우축제,0~9세,0.6,0.6
